3, 40, 2, 20.0, all clifford, 107.32749999999716, 1.0325016975402832
3, 40, 3, 20.0, all clifford, 6561.394999999582, 1.3620831966400146
3, 40, 4, 20.0, all clifford, 419436.0574999533, 1.8293828964233398
3, 40, 5, 20.0, all clifford, 26843551.772495314, 2.599407434463501
3, 40, 6, 20.0, all clifford, 1717986923.9208164, 12.124969005584717
3, 40, 7, 20.0, all clifford, 109951162782.46187, 30.73811388015747
3, 40, 8, 20.0, all clifford, 7036874417768.562, 25.79555654525757
3, 40, 9, 20.0, all clifford, 450359962736774.5, 88.81290650367737
3, 40, 10, 20.0, all clifford, 2.882303761515143e+16, 300.59967589378357
4, 40, 2, 20.0, all clifford, 1660.7674999999406, 2.416858434677124
4, 40, 3, 20.0, all clifford, 419447.2262499651, 1.25909423828125
4, 40, 4, 20.0, all clifford, 107374204.36998402, 1.6574485301971436
4, 40, 5, 20.0, all clifford, 27487790715.73863, 2.347228765487671
4, 40, 6, 20.0, all clifford, 7036874417782.01, 6.254860877990723
4, 40, 7, 20.0, all clifford, 1801439850947390.5, 11.987394571304321
4, 40, 8, 20.0, all clifford, 4.611686018424464e+17, 19.515718936920166
4, 40, 9, 20.0, all clifford, 1.180591620716444e+20, 53.29855132102966
4, 40, 10, 20.0, all clifford, 3.0223145490338082e+22, 160.05789709091187
4, 10, 6, 20.0, all clifford, 28147497671072.85, 1.993384599685669
4, 20, 6, 20.0, all clifford, 14073748835559.162, 3.0298547744750977
4, 30, 6, 20.0, all clifford, 9382499223716.967, 4.00887393951416
4, 40, 6, 20.0, all clifford, 7036874417783.295, 5.349583148956299
4, 50, 6, 20.0, all clifford, 5629499534227.978, 7.0784924030303955
4, 60, 6, 20.0, all clifford, 4691249611893.895, 8.359005451202393
4, 70, 6, 20.0, all clifford, 4021071095888.663, 10.066907405853271
4, 80, 6, 20.0, all clifford, 3518437208930.967, 13.80566954612732
4, 90, 6, 20.0, all clifford, 3127499741248.031, 14.243155479431152
4, 100, 6, 20.0, all clifford, 2814749767125.5205, 15.97745656967163
4, 110, 6, 20.0, all clifford, 2558863424683.8335, 17.192582607269287
4, 120, 6, 20.0, all clifford, 2345624805951.185, 22.477433443069458
4, 130, 6, 20.0, all clifford, 2165192128563.2837, 22.231831312179565
4, 140, 6, 20.0, all clifford, 2010535547960.9355, 25.168827295303345
4, 150, 6, 20.0, all clifford, 1876499844782.6453, 65.28562927246094
4, 160, 6, 20.0, all clifford, 1759218604471.4863, 30.569557428359985
4, 170, 6, 20.0, all clifford, 1655735157142.298, 34.54318308830261
4, 180, 6, 20.0, all clifford, 1563749870643.0159, 36.4702513217926
4, 190, 6, 20.0, all clifford, 1481447245866.86, 75.48559141159058
4, 200, 6, 20.0, all clifford, 1407374883573.7817, 46.273966550827026
3, 10, 6, 20.0, all clifford, 6871947678.478269, 1.9807655811309814
3, 20, 6, 20.0, all clifford, 3435973843.194121, 3.385361909866333
3, 30, 6, 20.0, all clifford, 2290649228.9016423, 4.1821982860565186
3, 40, 6, 20.0, all clifford, 1717986924.155814, 5.724570035934448
3, 50, 6, 20.0, all clifford, 1374389539.3940523, 6.672399044036865
3, 60, 6, 20.0, all clifford, 1145324618.3280427, 8.712644815444946
3, 70, 6, 20.0, all clifford, 981706816.3764868, 16.236363649368286
3, 80, 6, 20.0, all clifford, 858993464.5538418, 11.950483798980713
3, 90, 6, 20.0, all clifford, 763549747.1583241, 14.761106491088867
3, 100, 6, 20.0, all clifford, 687194772.5502257, 15.950010061264038
3, 110, 6, 20.0, all clifford, 624722521.222815, 19.48643708229065
3, 120, 6, 20.0, all clifford, 572662312.2974935, 20.614011764526367
3, 130, 6, 20.0, all clifford, 528611364.9428242, 23.217414617538452
3, 140, 6, 20.0, all clifford, 490853410.967732, 27.38919496536255
3, 150, 6, 20.0, all clifford, 458129850.9734829, 27.917603254318237
3, 160, 6, 20.0, all clifford, 429496734.8379371, 31.990654706954956
3, 170, 6, 20.0, all clifford, 404232222.6786516, 35.20547294616699
3, 180, 6, 20.0, all clifford, 381774876.73922443, 39.64237928390503
3, 190, 6, 20.0, all clifford, 361681462.4233431, 142.54562854766846
3, 200, 6, 20.0, all clifford, 343597389.75306225, 82.50215077400208
1, 100, 6, 20.0, all clifford, 41.931199999996565, 20.829508543014526
2, 100, 6, 20.0, all clifford, 167774.17919997158, 16.423829078674316
3, 100, 6, 20.0, all clifford, 687194773.4614258, 15.557149410247803
4, 100, 6, 20.0, all clifford, 2814749767129.5874, 15.583702564239502
5, 100, 6, 20.0, all clifford, 1.152921504606385e+16, 17.35433578491211
6, 100, 6, 20.0, all clifford, 4.722366482867249e+19, 16.016812086105347
7, 100, 6, 20.0, all clifford, 1.9342813113822595e+23, 16.378411769866943
8, 100, 6, 20.0, all clifford, 7.922816251421089e+26, 16.200514316558838
9, 100, 6, 20.0, all clifford, 3.245185536581789e+30, 18.166287660598755
10, 100, 6, 20.0, all clifford, 1.329227995783787e+34, 15.373969793319702
4, 100, 8, 1.0, all universal, 1.8446744073709424e+17, 52.25546360015869
4, 100, 8, 5.0, all universal, 1.8446744073706125e+17, 60.87848162651062
4, 100, 8, 10.0, all universal, 1.8446744073704144e+17, 59.46417260169983
4, 100, 8, 15.0, all universal, 1.844674407370107e+17, 63.69912099838257
4, 100, 8, 20.0, all universal, 1.84467440736974e+17, 66.0926775932312
4, 100, 8, 25.0, all universal, 1.844674407369526e+17, 72.04299139976501
4, 100, 8, 30.0, all universal, 1.8446744073692387e+17, 85.47161889076233
